Column,Type,Name,Size,Score,P value,Benj. Hoch. FDR,Mean,Median
Type_2_pneumocytes avg_logFC,GOBP name,nitrogen compound transport,59,0.235386643,0.001770947,0.055183776,0.045661404,0.01585714
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Endometrial cancer,43,0.235045925,0.007705989,0.075408602,0.09909601,0.088647671
B_cells avg_logFC,KEGG name,GnRH signaling pathway,59,0.233181672,0.001965175,0.02243575,0.095892251,0.063710228
Type_2_pneumocytes avg_logFC,GOBP name,mRNA catabolic process,60,0.231719775,0.001913378,0.058907995,0.04036561,0.030247035
Mki67+_proliferating_cells avg_logFC,KEGG name,Meiosis - yeast,54,0.231582558,0.003272751,0.074727818,0.127600576,0.157093652
Type_2_pneumocytes avg_logFC,KEGG name,Prostate cancer,77,0.231566017,0.000445499,0.003590202,0.055104036,0.033668201
Type_2_pneumocytes avg_logFC,KEGG name,Chronic myeloid leukemia,69,0.231339528,0.000894862,0.006129808,0.045937304,0.038459729
Type_2_pneumocytes avg_logFC,GOMF name,regulatory region DNA binding,263,0.231320115,1.13E-10,6.26E-08,0.042760492,0.024518801
Type_2_pneumocytes avg_logFC,GOMF name,regulatory region nucleic acid binding,263,0.231320115,1.13E-10,5.37E-08,0.042760492,0.024518801
Type_2_pneumocytes avg_logFC,GOMF name,transcription regulatory region DNA binding,256,0.231317057,1.98E-10,8.21E-08,0.043292484,0.02449318
Type_2_pneumocytes avg_logFC,GOBP name,regulation of cAMP metabolic process,71,0.230989024,0.000767805,0.029793729,0.039913301,0.021351211
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Prostate cancer,67,0.230964997,0.001094021,0.033306868,0.089899409,0.087314248
Type_2_pneumocytes avg_logFC,KEGG name,Bladder cancer,36,0.230938903,0.01651106,0.067522844,0.054390488,0.035919284
Type_2_pneumocytes avg_logFC,GOBP name,cellular response to cytokine stimulus,200,0.230879221,1.88E-08,2.93E-06,0.049813527,0.027301685
B_cells avg_logFC,GOBP name,B cell activation,80,0.230864391,0.000362618,0.076098023,0.106084096,0.098861445
Interstitial macrophages,KEGG name,Leishmaniasis,54,0.229683517,0.003534283,0.05379964,0.118558523,0.070438264
Plasma_cells avg_logFC,KEGG name,Natural killer cell mediated cytotoxicity,80,0.229649602,0.000393421,0.009799764,0.080749816,0.1038463
B_cells avg_logFC,KEGG name,Toxoplasmosis,98,0.228550465,9.44E-05,0.001847425,0.084128521,0.077466153
Type_2_pneumocytes avg_logFC,GOBP name,immune response-activating signal transduction,92,0.228325972,0.000154936,0.008046522,0.047361028,0.02397358
Vcam1+_endothelial_cells avg_logFC,KEGG name,Cytokine-cytokine receptor interaction,112,0.228265149,3.14E-05,0.008607177,0.126167227,0.098590918
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Gap junction,56,0.228083801,0.003185542,0.051343442,0.097393789,0.061273491
B_cells avg_logFC,KEGG name,Rheumatoid arthritis,59,0.227967413,0.002476263,0.026095997,0.081405297,0.079819597
Type_2_pneumocytes avg_logFC,GOBP name,regulation of Rho GTPase activity,57,0.227431828,0.002987076,0.081475075,0.040088282,0.032814208
Capillary_endothelial_cells avg_logFC,KEGG name,Jak-STAT signaling pathway,85,0.227402966,0.000298489,0.081785903,0.129051338,0.130792901
B_cells avg_logFC,KEGG name,Chronic myeloid leukemia,67,0.227268876,0.001308788,0.016300361,0.089404111,0.096691817
Type_2_pneumocytes avg_logFC,GOCC name,heterochromatin,47,0.227267903,0.007040797,0.099912265,0.047424779,0.01945029
Type_2_pneumocytes avg_logFC,GOBP name,regulation of smooth muscle cell proliferation,55,0.226848618,0.003623541,0.091325668,0.043845805,0.031359259
Type_2_pneumocytes avg_logFC,KEGG name,Vasopressin-regulated water reabsorption,36,0.226788256,0.018556142,0.074770336,0.051755259,0.034773165
Alveolar_macrophage avg_logFC,KEGG name,Pathogenic Escherichia coli infection,44,0.225626422,0.009644072,0.066061893,0.050466138,0.04197154
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of proteolysis,57,0.225524931,0.003238213,0.085600372,0.044273843,0.033247881
Type_2_pneumocytes avg_logFC,GOBP name,regulation of cAMP biosynthetic process,66,0.224004546,0.001655707,0.052548247,0.040367904,0.018343045
Type_2_pneumocytes avg_logFC,GOBP name,immune response-regulating signaling pathway,97,0.223809444,0.000140624,0.007691688,0.042677442,0.023983629
Alveolar_macrophage avg_logFC,KEGG name,Amyotrophic lateral sclerosis (ALS),42,0.222161911,0.012768428,0.071398962,0.073616718,0.038063055
Type_2_pneumocytes avg_logFC,KEGG name,Fc epsilon RI signaling pathway,64,0.221960269,0.002142127,0.011978424,0.041622805,0.032610655
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,VEGF signaling pathway,51,0.221851236,0.006178232,0.070534817,0.11010908,0.097066991
Alveolar_macrophage avg_logFC,KEGG name,Osteoclast differentiation,98,0.221762784,0.00015077,0.006885163,0.08390089,0.040274374
CD8+_T_cells avg_logFC,KEGG name,Measles,100,0.221157272,0.000135964,0.007450816,0.110968866,0.078967411
Type_2_pneumocytes avg_logFC,GOBP name,protein polyubiquitination,99,0.221026437,0.000145827,0.007851011,0.039843151,0.024922621
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Shigellosis,53,0.220938794,0.005442118,0.074557019,0.105423756,0.069998138
Type_2_pneumocytes avg_logFC,GOBP name,tissue homeostasis,69,0.220919389,0.001513742,0.049103505,0.049224967,0.029385701
Type_2_pneumocytes avg_logFC,KEGG name,Notch signaling pathway,44,0.220757005,0.01130902,0.04997857,0.035105947,0.029913825
Eosinophils,Keywords,Actin-binding,138,0.220708657,8.14E-06,0.004633487,0.163363655,0.175335601
Type_2_pneumocytes avg_logFC,Keywords,Immunity,238,0.220697522,4.73E-09,2.24E-07,0.054144776,0.023025636
Type_2_pneumocytes avg_logFC,GOCC name,primary cilium,59,0.219899269,0.003494824,0.058673665,0.036889974,0.026307059
Mki67+_proliferating_cells avg_logFC,GOBP name,regulation of T cell activation,144,0.219627169,5.69E-06,0.058524848,0.13299031,0.085541204
Type_2_pneumocytes avg_logFC,GOBP name,transcription from RNA polymerase II promoter,70,0.219319191,0.001515469,0.04900493,0.044555431,0.039361786
Type_2_pneumocytes avg_logFC,GOBP name,regulation of lymphocyte differentiation,92,0.21921101,0.000281234,0.013513671,0.040767812,0.0219094
Type_2_pneumocytes avg_logFC,GOBP name,negative regulation of intracellular protein kinase cascade,85,0.218986693,0.00048623,0.021096652,0.039746821,0.026408659
non-classical_monocyte_(Ly6c2-) avg_logFC,Keywords,Proto-oncogene,65,0.218889595,0.002308217,0.087558356,0.175578149,0.160022706
Type_2_pneumocytes avg_logFC,GOMF name,cytokine binding,75,0.218419891,0.00107894,0.054976132,0.039940065,0.02716838
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Insulin signaling pathway,98,0.217949535,0.000198014,0.05425574,0.100918859,0.081978317
Type_2_pneumocytes avg_logFC,GOBP name,response to bacterium,103,0.21716536,0.000141278,0.007686552,0.051726304,0.025625691
Interstitial macrophages,KEGG name,ko05152,135,0.216723289,1.44E-05,0.000657206,0.09273891,0.06793943
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Calcium signaling pathway,80,0.216597825,0.000825432,0.032309776,0.092123002,0.076275826
Ciliated_cells avg_logFC,KEGG name,Leukocyte transendothelial migration,95,0.215865721,0.00028034,0.076813123,0.067210115,0.051098879
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Glioma,46,0.21509807,0.0116738,0.09138918,0.097149612,0.100110017
Type_2_pneumocytes avg_logFC,KEGG name,Neurotrophin signaling pathway,116,0.214821482,6.50E-05,0.00080962,0.040194557,0.03334376
Vcam1+_endothelial_cells avg_logFC,KEGG name,Osteoclast differentiation,87,0.21470655,0.000550263,0.07538598,0.09987231,0.101342998
Type_2_pneumocytes avg_logFC,GOCC name,nuclear body,257,0.214486167,3.40E-09,2.89E-07,0.04274506,0.034282349
CD8+_T_cells avg_logFC,KEGG name,Chemokine signaling pathway,129,0.214397191,2.71E-05,0.003718702,0.109475008,0.077806197
Type_2_pneumocytes avg_logFC,GOBP name,vasculogenesis,60,0.214239557,0.004114457,0.099785274,0.046193435,0.02121144
Alveolar_macrophage avg_logFC,KEGG name,T cell receptor signaling pathway,96,0.214177944,0.00029134,0.008869699,0.051134368,0.039401455
Cd4+_T_cells avg_logFC,KEGG name,Fc gamma R-mediated phagocytosis,73,0.213018494,0.001669681,0.032678039,0.097625833,0.086820588
Vcam1+_endothelial_cells avg_logFC,KEGG name,Natural killer cell mediated cytotoxicity,83,0.212840908,0.000820057,0.074898584,0.119052569,0.097388327
Alveolar_macrophage avg_logFC,GOCC name,extrinsic to plasma membrane,68,0.210834839,0.002661493,0.070499995,0.061242627,0.03440604
Type_2_pneumocytes avg_logFC,KEGG name,ko05152,151,0.210612875,8.09E-06,0.000201415,0.047162516,0.02388875
B_cells avg_logFC,KEGG name,RIG-I-like receptor signaling pathway,48,0.210020616,0.011879162,0.090413625,0.085159095,0.073473338
Plasma_cells avg_logFC,KEGG name,Jak-STAT signaling pathway,91,0.209488778,0.000567547,0.01295899,0.080958301,0.097641326
Type_2_pneumocytes avg_logFC,GOMF name,ubiquitin-protein ligase activity,197,0.208597307,4.61E-07,6.10E-05,0.036448442,0.0267023
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of immune response,189,0.208405891,8.01E-07,8.15E-05,0.050112331,0.02002403
Eosinophils,KEGG name,Osteoclast differentiation,89,0.208172937,0.000706135,0.096740551,0.163923025,0.214110896
Type_2_pneumocytes avg_logFC,GOBP name,regulation of Ras GTPase activity,127,0.208157649,5.17E-05,0.003219228,0.036866704,0.03297957
Alveolar_macrophage avg_logFC,GOBP name,second-messenger-mediated signaling,94,0.20780362,0.000504259,0.064816169,0.063671712,0.017234695
Natural_Killer_cells avg_logFC,KEGG name,Natural killer cell mediated cytotoxicity,90,0.207392349,0.000692484,0.094870248,0.123221665,0.124479219
Type_2_pneumocytes avg_logFC,KEGG name,Vascular smooth muscle contraction,94,0.207247282,0.000519104,0.004063846,0.036660221,0.025153775
Type_2_pneumocytes avg_logFC,GOBP name,regulation of multi-organism process,71,0.207218453,0.002544905,0.072491008,0.043891564,0.018415781
Alveolar_macrophage avg_logFC,KEGG name,Prostate cancer,77,0.20715577,0.001688033,0.021023679,0.068629314,0.03085687
B_cells avg_logFC,KEGG name,Neurotrophin signaling pathway,103,0.207131225,0.000286602,0.004362717,0.089365485,0.08651007
B_cells avg_logFC,KEGG name,Non-small cell lung cancer,48,0.207054067,0.013131637,0.097245096,0.082704825,0.087452602
Type_2_pneumocytes avg_logFC,KEGG name,Hematopoietic cell lineage,68,0.207005298,0.003170323,0.017373373,0.041791329,0.023793081
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of protein catabolic process,78,0.206949491,0.001585952,0.050647032,0.038516694,0.031368945
Interstitial macrophages,KEGG name,Chemokine signaling pathway,134,0.206682614,3.76E-05,0.001145219,0.079313524,0.072185926
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Osteoclast differentiation,93,0.206310966,0.000598074,0.040968072,0.098285972,0.058626559
CD8+_T_cells avg_logFC,KEGG name,Chagas disease (American trypanosomiasis),81,0.20604087,0.001366932,0.041615482,0.118594437,0.101407103
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Hepatitis C,91,0.2058613,0.000703368,0.032120493,0.09372292,0.06200109
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Toll-like receptor signaling pathway,71,0.205856602,0.002741661,0.050081003,0.08759163,0.061546039
CD209+/Cd11b+_dendritic_cells avg_logFC,GOMF name,transcription regulatory region DNA binding,184,0.205448085,1.70E-06,0.005616183,0.120270198,0.127721049
Type_2_pneumocytes avg_logFC,Pfam,RRM_1,150,0.205405994,1.44E-05,0.030598519,0.047483566,0.034173355
Type_2_pneumocytes avg_logFC,GOBP name,calcium ion transport,90,0.205302634,0.00076661,0.029860022,0.034287495,0.021164295
Type_2_pneumocytes avg_logFC,GOBP name,regulation of cellular component size,116,0.205146611,0.000136741,0.007519283,0.049510886,0.024888275
B_cells avg_logFC,KEGG name,ko05152,132,0.20502364,4.91E-05,0.001222533,0.084513972,0.062897177
Plasma_cells avg_logFC,KEGG name,Toll-like receptor signaling pathway,67,0.204596987,0.003832958,0.061778268,0.084475448,0.094072901
Type_2_pneumocytes avg_logFC,GOBP name,defense response to virus,90,0.204541608,0.000801995,0.03054411,0.038273287,0.028655451
Type_2_pneumocytes avg_logFC,GOBP name,regulation of cytokine biosynthetic process,77,0.204219497,0.001955831,0.060035244,0.038117394,0.018400069
Type_2_pneumocytes avg_logFC,GOMF name,small conjugating protein ligase activity,211,0.204184703,3.30E-07,4.55E-05,0.036518243,0.026408659
Mki67+_proliferating_cells avg_logFC,GOBP name,T cell activation,124,0.20414254,8.96E-05,0.061450701,0.115368236,0.087528273
Type_2_pneumocytes avg_logFC,GOBP name,immune effector process,219,0.203491131,2.19E-07,2.56E-05,0.044558888,0.02964711
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of immune effector process,93,0.202834117,0.000728094,0.028467641,0.054841054,0.02030067
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Apoptosis,74,0.201976304,0.002700534,0.052853312,0.093297153,0.074329127
Type_2_pneumocytes avg_logFC,GOBP name,regulation of T cell proliferation,86,0.201610319,0.001237107,0.041708742,0.046560688,0.018705385
Plasma_cells avg_logFC,KEGG name,T cell receptor signaling pathway,84,0.201411858,0.001448496,0.028349127,0.061832021,0.093951229
Type_2_pneumocytes avg_logFC,KEGG name,Phosphatidylinositol signaling system,69,0.201387837,0.003832913,0.019815436,0.035811842,0.02831886
Type_2_pneumocytes avg_logFC,GOMF name,sequence-specific DNA binding RNA polymerase II transcription factor activity,147,0.201238237,2.58E-05,0.00266803,0.042992786,0.02114431
Interstitial macrophages,KEGG name,Osteoclast differentiation,93,0.200971795,0.000824874,0.0173858,0.084883244,0.06793943
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Neurotrophin signaling pathway,103,0.200903634,0.000437844,0.03998975,0.089762665,0.087314248
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Natural killer cell mediated cytotoxicity,82,0.200687434,0.001708582,0.042559227,0.085349978,0.073535487
Plasma_cells avg_logFC,KEGG name,ErbB signaling pathway,60,0.200472802,0.007316571,0.091124567,0.083449621,0.096435491
Type_2_pneumocytes avg_logFC,GOBP name,response to cytokine stimulus,284,0.200196918,6.82E-09,1.19E-06,0.043596483,0.026150061
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Chagas disease (American trypanosomiasis),80,0.1994015,0.002079595,0.047484095,0.10920583,0.054412225
Type_2_pneumocytes avg_logFC,GOBP name,embryonic organ development,95,0.198796398,0.00081768,0.030912496,0.043166677,0.02446756
Type_2_pneumocytes avg_logFC,GOCC name,trans-Golgi network,80,0.198760096,0.002126602,0.043705331,0.040600367,0.023772281
Mki67+_proliferating_cells avg_logFC,Keywords,Proteinphosphatase,93,0.198736941,0.000944039,0.067144789,0.088169161,0.054160122
CD8+_T_cells avg_logFC,KEGG name,Osteoclast differentiation,93,0.198718014,0.000942935,0.03229551,0.094788334,0.08477369
Alveolar_macrophage avg_logFC,KEGG name,VEGF signaling pathway,60,0.198574827,0.007844119,0.058088878,0.061638003,0.0476352
Type_2_pneumocytes avg_logFC,GOBP name,regulation of ion homeostasis,93,0.19799991,0.000972901,0.034497716,0.03301707,0.021051761
Type_2_pneumocytes avg_logFC,GOBP name,cell activation,299,0.197763193,4.32E-09,7.94E-07,0.042002782,0.02808743
Type_2_pneumocytes avg_logFC,GOBP name,regulation of anatomical structure size,159,0.197671157,1.73E-05,0.001261553,0.045503745,0.02296483
Type_2_pneumocytes avg_logFC,GOBP name,cell activation involved in immune response,75,0.19738275,0.003134532,0.084377982,0.046999752,0.035692029
Type_2_pneumocytes avg_logFC,GOBP name,leukocyte activation involved in immune response,75,0.19738275,0.003134532,0.084157674,0.046999752,0.035692029
Cd103+/Cd11b-_dendritic_cells avg_logFC,Keywords,Guanine-nucleotidereleasingfactor,90,0.197224331,0.001245029,0.064401945,0.081484697,0.059454843
classical_monocyte_(Ly6c2+) avg_logFC,GOBP name,endocytosis,160,0.196867539,1.87E-05,0.095929935,0.182193313,0.196544051
Mesothelial_cells avg_logFC,KEGG name,Chemokine signaling pathway,125,0.196701397,0.000150725,0.041298569,0.117150858,0.074151397
B_cells avg_logFC,KEGG name,Epithelial cell signaling in Helicobacter pylori infection,56,0.196665369,0.010967283,0.085858161,0.079889497,0.075783722
Type_2_pneumocytes avg_logFC,GOBP name,activation of immune response,122,0.196378966,0.000181428,0.00919029,0.043847496,0.021165965
Cd4+_T_cells avg_logFC,KEGG name,Leukocyte transendothelial migration,87,0.196097177,0.001592011,0.036350921,0.100410096,0.069003828
Type_2_pneumocytes avg_logFC,GOBP name,leukocyte activation,268,0.195985512,3.51E-08,5.09E-06,0.04293971,0.028469695
Alveolar_macrophage avg_logFC,Keywords,Cytokine,88,0.195690036,0.001523943,0.039414716,0.064304776,0.028314806
Alveolar_macrophage avg_logFC,KEGG name,Natural killer cell mediated cytotoxicity,94,0.195439417,0.001069726,0.014655241,0.065205601,0.03300615
Type_2_pneumocytes avg_logFC,GOBP name,regulation of protein polymerization,91,0.194942806,0.001316295,0.043522394,0.049098923,0.031699192
non-classical_monocyte_(Ly6c2-) avg_logFC,Keywords,Tumorsuppressor,78,0.194520076,0.003028379,0.090691989,0.148339024,0.143898949
Alveolar_macrophage avg_logFC,KEGG name,Fc epsilon RI signaling pathway,58,0.19446753,0.010463488,0.068261805,0.076261379,0.036406869
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,T cell receptor signaling pathway,82,0.194442331,0.002372901,0.050013462,0.101048258,0.05329637
Mesothelial_cells avg_logFC,KEGG name,Cell adhesion molecules (CAMs),82,0.194320984,0.002384092,0.072582352,0.117760949,0.089737885
Type_2_pneumocytes avg_logFC,GOBP name,divalent metal ion transport,113,0.193828804,0.000375139,0.017298464,0.032927959,0.02127683
CD8+_T_cells avg_logFC,KEGG name,Insulin signaling pathway,102,0.193748618,0.000736714,0.033643283,0.074504229,0.070560779
Alveolar_macrophage avg_logFC,KEGG name,GnRH signaling pathway,67,0.192493578,0.006472366,0.050669377,0.056701083,0.03336354
Alveolar_macrophage avg_logFC,GOMF name,ubiquitin-protein ligase activity,194,0.192490645,3.96E-06,0.004375132,0.040569823,0.042243555
Type_2_pneumocytes avg_logFC,GOBP name,regulation of T cell activation,160,0.192464169,2.70E-05,0.001866627,0.039587699,0.019138075
Mki67+_proliferating_cells avg_logFC,GOBP name,positive regulation of lymphocyte activation,133,0.191976236,0.000137004,0.061252921,0.112048923,0.046347659
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of defense response,107,0.191181926,0.000638778,0.02596265,0.042355828,0.01775899
classical_monocyte_(Ly6c2+) avg_logFC,GOBP name,membrane invagination,169,0.191119962,1.96E-05,0.06734978,0.179368224,0.195002601
Mesothelial_cells avg_logFC,KEGG name,Jak-STAT signaling pathway,89,0.190434824,0.001931837,0.066165428,0.10682212,0.090419538
Type_2_pneumocytes avg_logFC,GOBP name,in utero embryonic development,198,0.190073753,4.11E-06,0.000355114,0.039471734,0.023219639
vascular_endothelial_cells avg_logFC,GOMF name,guanyl-nucleotide exchange factor activity,138,0.1898086,0.000122581,0.057998499,0.084215241,0.072875991
CD209+/Cd11b+_dendritic_cells avg_logFC,GOMF name,regulatory region DNA binding,191,0.189311371,7.04E-06,0.011663154,0.1157498,0.1153832
CD209+/Cd11b+_dendritic_cells avg_logFC,GOMF name,regulatory region nucleic acid binding,191,0.189311371,7.04E-06,0.007775436,0.1157498,0.1153832
Alveolar_macrophage avg_logFC,GOCC name,lysosome,155,0.18920403,4.94E-05,0.003678316,0.089582831,0.019960821
Alveolar_macrophage avg_logFC,GOCC name,lytic vacuole,155,0.18920403,4.94E-05,0.003461944,0.089582831,0.019960821
Type_2_pneumocytes avg_logFC,Keywords,Activator,412,0.189198145,4.98E-11,2.83E-09,0.037938751,0.02429392
Type_2_pneumocytes avg_logFC,Keywords,Proteinphosphatase,112,0.188790659,0.000562119,0.006527459,0.037184206,0.022320245
Type_2_pneumocytes avg_logFC,GOBP name,chordate embryonic development,201,0.188499509,4.19E-06,0.00035912,0.039794615,0.022368699
Type_2_pneumocytes avg_logFC,KEGG name,Toxoplasmosis,112,0.188386256,0.000577698,0.004396924,0.040983886,0.02114441
Alveolar_macrophage avg_logFC,KEGG name,Glycerophospholipid metabolism,62,0.188091669,0.010473107,0.066735611,0.051707127,0.020683985
Type_2_pneumocytes avg_logFC,GOBP name,divalent inorganic cation transport,117,0.187339358,0.000469104,0.020439837,0.03251889,0.021051761
Type_2_pneumocytes avg_logFC,GOBP name,regulation of calcium ion transport,80,0.187250857,0.003802773,0.094226298,0.033582789,0.018815486
Type_2_pneumocytes avg_logFC,GOBP name,leukocyte differentiation,188,0.18713849,9.87E-06,0.000763341,0.040974571,0.031491404
Type_2_pneumocytes avg_logFC,GOBP name,actin filament organization,90,0.186747938,0.002209707,0.066053524,0.040746652,0.024127129
Type_2_pneumocytes avg_logFC,KEGG name,Regulation of actin cytoskeleton,174,0.186533289,2.23E-05,0.000407999,0.043459195,0.02756529
Interstitial macrophages,Keywords,Immunity,219,0.185913257,2.32E-06,0.001319534,0.0715803,0.064689249
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Vascular smooth muscle contraction,68,0.1858613,0.008122084,0.071788743,0.077232596,0.056765709
CD209+/Cd11b+_dendritic_cells avg_logFC,Keywords,GTPaseactivation,92,0.185738532,0.002120548,0.092814759,0.100703458,0.105361801
Interstitial macrophages,GOBP name,leukocyte activation,237,0.185592391,9.50E-07,0.002443127,0.069762352,0.05190549
Alveolar_macrophage avg_logFC,KEGG name,Chemokine signaling pathway,142,0.185446804,0.000139426,0.00764056,0.061651583,0.035421174
Alveolar_macrophage avg_logFC,KEGG name,B cell receptor signaling pathway,68,0.185339293,0.008265105,0.059595754,0.047106659,0.042977504
Type_2_pneumocytes avg_logFC,GOCC name,cell cortex,90,0.184957136,0.00243626,0.048400367,0.040465039,0.02587309
Type_2_pneumocytes avg_logFC,Keywords,Methylation,243,0.184842129,7.22E-07,2.16E-05,0.036905671,0.025625691
Mki67+_proliferating_cells avg_logFC,KEGG name,T cell receptor signaling pathway,92,0.184422815,0.00227237,0.05660267,0.124580218,0.057953505
B_cells avg_logFC,KEGG name,Apoptosis,74,0.184181932,0.00620609,0.054853826,0.081472702,0.062271966
Type_2_pneumocytes avg_logFC,GOBP name,endosome transport,88,0.18402141,0.00286102,0.07866274,0.033933691,0.017655415
Type_2_pneumocytes avg_logFC,GOBP name,anatomical structure homeostasis,112,0.18399812,0.000774637,0.029833666,0.042251597,0.020286625
Cd4+_T_cells avg_logFC,KEGG name,Phagosome,115,0.183602619,0.000686026,0.020885666,0.094869472,0.069437958
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of response to external stimulus,109,0.183391185,0.000947317,0.034060362,0.038154467,0.02055832
Natural_Killer_cells avg_logFC,GOBP name,cell activation,229,0.183012244,2.11E-06,0.007240674,0.11219058,0.081081547
Type_2_pneumocytes avg_logFC,GOBP name,regulation of stress-activated protein kinase signaling cascade,116,0.182789945,0.000677947,0.026916336,0.044571404,0.021962065
Type_2_pneumocytes avg_logFC,KEGG name,Hepatitis C,108,0.182655474,0.001047608,0.006834397,0.038685408,0.027037661
non-classical_monocyte_(Ly6c2-) avg_logFC,KEGG name,MAPK signaling pathway,169,0.182555844,4.53E-05,0.012417565,0.171465763,0.1232448
Interstitial macrophages,GOBP name,cell activation,257,0.182541685,5.27E-07,0.001805522,0.066255375,0.054632429
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of cytokine production,156,0.182528618,8.47E-05,0.004948027,0.039006218,0.0186366
Type_2_pneumocytes avg_logFC,GOBP name,embryo development ending in birth or egg hatching,204,0.182406021,7.27E-06,0.000575007,0.039133853,0.021805745
Cd4+_T_cells avg_logFC,GOBP name,leukocyte activation,243,0.182379043,1.07E-06,0.011016382,0.097613338,0.069437958
Type_2_pneumocytes avg_logFC,Keywords,Lipidbiosynthesis,124,0.182280616,0.000460102,0.006088321,0.051246685,0.02021938
Natural_Killer_cells avg_logFC,GOBP name,leukocyte activation,213,0.181892951,5.38E-06,0.013832249,0.114299334,0.078718834
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of immune system process,352,0.181736999,5.06E-09,8.97E-07,0.039617271,0.02077893
Type_2_pneumocytes avg_logFC,GOBP name,regulation of immune effector process,165,0.181668826,5.76E-05,0.003546807,0.044710557,0.018400069
Type_2_pneumocytes avg_logFC,GOBP name,monosaccharide metabolic process,159,0.181193023,8.18E-05,0.004836239,0.034122494,0.02988958
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of T cell activation,106,0.180979665,0.001293905,0.042920076,0.036565528,0.016712455
Type_2_pneumocytes avg_logFC,GOCC name,receptor complex,121,0.180435155,0.000613439,0.015896082,0.045103515,0.01428464
Vcam1+_endothelial_cells avg_logFC,GOBP name,cell activation,214,0.180276061,6.08E-06,0.062502029,0.090874309,0.099362861
Type_2_pneumocytes avg_logFC,KEGG name,Glioma,57,0.180014946,0.018770917,0.074539582,0.041867054,0.02654466
Type_2_pneumocytes avg_logFC,GOMF name,sequence-specific DNA binding,450,0.179979809,6.75E-11,4.47E-08,0.037988941,0.017417655
Type_2_pneumocytes avg_logFC,Keywords,SH2domain,86,0.179636056,0.004000605,0.035020685,0.034629626,0.026354205
B_cells avg_logFC,KEGG name,Chagas disease (American trypanosomiasis),84,0.178998545,0.004616525,0.042164258,0.081292162,0.061647706
Type_2_pneumocytes avg_logFC,GOBP name,immune system process,736,0.178900071,1.95E-16,2.86E-13,0.043099671,0.019997595
Type_2_pneumocytes avg_logFC,GOBP name,regulation of leukocyte proliferation,131,0.17884787,0.00041249,0.018603662,0.040602201,0.01719257
Vcam1+_endothelial_cells avg_logFC,GOBP name,leukocyte activation,197,0.178340345,1.73E-05,0.089020476,0.090202736,0.1006267
Alveolar_macrophage avg_logFC,KEGG name,Toll-like receptor signaling pathway,79,0.178044678,0.006264581,0.050485156,0.064471417,0.027849929
Ciliated_cells avg_logFC,KEGG name,Osteoclast differentiation,98,0.177939862,0.002356533,0.092241435,0.062036208,0.042063836
Interstitial macrophages,GOBP name,lymphocyte activation,195,0.177019272,2.16E-05,0.036965447,0.067127559,0.05121085
Alveolar_macrophage avg_logFC,KEGG name,Epithelial cell signaling in Helicobacter pylori infection,62,0.176753557,0.016150343,0.086768507,0.072344109,0.034949595
Type_2_pneumocytes avg_logFC,GOBP name,regulation of JNK cascade,102,0.176637153,0.002065346,0.062648835,0.043431451,0.019945805
Type_2_pneumocytes avg_logFC,GOBP name,regulation of protein complex assembly,162,0.176634683,0.000106369,0.006110556,0.04261021,0.023507605
Type_2_pneumocytes avg_logFC,GOMF name,chromatin binding,291,0.176424233,2.36E-07,3.40E-05,0.038942358,0.02266516
Type_2_pneumocytes avg_logFC,GOBP name,regulation of actin filament-based process,156,0.176054757,0.000149851,0.007861848,0.039371796,0.028247194
Alveolar_macrophage avg_logFC,GOBP name,regulation of sequence-specific DNA binding transcription factor activity,222,0.176038428,6.52E-06,0.00291308,0.047889772,0.031765621
vascular_endothelial_cells avg_logFC,KEGG name,Natural killer cell mediated cytotoxicity,88,0.175967019,0.004384024,0.092401745,0.07173993,0.076276116
